,Number,Names
333860,333861, Friendly staff always had solutions for my questions and queries 
333990,333991, Nice reception area and helpful staff
334001,334002, Near to arab street Near to arab halal resturant Very close to Hyde Park The staff are very wonderful especialy MR Jesttin 
334010,334011, It was a full house but the staff is friendly and very helpful 
334068,334069, every thing special staff Trisha and daniel in the reception was very friendly
334092,334093, Reception staff are very helpful and friendly
334101,334102, Management of Breakfast and excellent staff 
334156,334157, Beautiful breakfast and helpful staff 
334157,334158, All good specialy the service staff
334194,334195, Excellent for access to Hyde Park Helpful staff 
334216,334217, The bar very nice friendly staff could not do enough
334248,334249, The value for money and the friendliness of the staff 
334275,334276, Attentive staff friendly and professional
334279,334280, Decor was pleasing and staff were very helpful
334282,334283, The lobby staff did a great job finding and directing us to the nearby Magistrate s Court This could not have been a common request 
334355,334356, Excellent facilities and staff
334357,334358, Comfy bed amazing breakfast very helpful staff
334358,334359, The staff were excellent the breakfast choice one of the best 
334390,334391, Very friendly and efficient staff
334408,334409, Friendly staff and well trained
334419,334420, Bed was really comfortable Good choice at breakfast and staff were very friendly 
334423,334424, Excellent staff welcome registering and concierge were extremely efficient
334433,334434, Friendliness of staff Attentive door men
334473,334474, Brilliant breakfast excellent staff so friendly and helpful
334475,334476, The cleanliness and the friendliness of the staff was outstanding
334476,334477, Even with a fire evacuation my stay was made bye attitude of the staff Help full friendly and efficient
334481,334482, I like the good manered staff Always answering with a smile And very helpful 
334518,334519, The efficiency of all staff helpful and were willing to assist and answer any questions
334529,334530, Great staff everyone couldn t do enough
334558,334559, the staff are very nice and makes you feel at home always helping
334565,334566, Everything think perfect the breakfast the staff the cleaning
334698,334699, The cleanliness and the attitude if all staff encountered Always willing to help
334723,334724, very convenient for tube and event in hyde park Reception and concierge staff were very friendly and helpful
334798,334799, Close to metro station clean helpful kind and friendly staff Miljana gave us informations about sights places we could eat and for everything we ask she was always willing to help us thank you 
334807,334808, Asked for queen bed but gave us two single they changed it immediately helpful staff not far from the center by car
334855,334856, Very good staff and services The structure is at 3 minutes from the tram stop and you can reach the center of Wien in few minutes
334868,334869, 24 7 open reception very friendly staff
334894,334895, Clean helpful staff 2 metro station is close sparr near by
334932,334933, Friendly staff nice accomodation not central but close to the metro
334996,334997, Breakfast was amazing i like the idea of my little one getting his own kids plate bowl and mug Also staff on reception was great helpful everybody spoke good English
335047,335048, Helpfulness of all staff I encountered
335068,335069, Very good breakfast and the staff is very friendly and helpful 
335072,335073, Everything was just excellent The interior is great all of the staff were very kind and helpful the breakfast is excellent We were so happy 
335097,335098, beds and lounge comfortable Nespresso slippers and robes bulgari amenities in suites breakfast staff very helpful and friendly remembered our orders 
335109,335110, It was comfortable staff were very helpful and it was ideally located We will definitely be back 
335123,335124, Staff especially female staff very helpful and professional
335128,335129, The breakfast was very good and the staff was very attentive to my family member s need for gluten free 
335148,335149, The staff were very pleasant and helpful the food was good 
335151,335152, Good Public Areas check in staff 
335182,335183, Front desk staff were helpful and resolved a problem quickly and with a smile Good attitude and i commend them for working so well in spite of a mediocre product 
335215,335216, Everything was brilliant beds were amazing staff were brilliant the whole stay was perfect
335240,335241, Hospitality friendlyness of staff
335252,335253, Lovely comfy bed and staff were supurb
335256,335257, The staff were beyond helpful The bed was so comfy 
335341,335342, Helpful staff and quality of breakfast
335376,335377, Very clean and helpfull polite staff
335388,335389, Very Clean Very friendly staff Very Quiet Very close to tram and train station so you can reach the city center in 10 minutes 
335390,335391, The reception staff were very pleasant and helpful and made my stay very easy 
335395,335396, Reception staff very friendly and nice helped us out a lot with advice re public transport etc A very positive experience and would definitely go back recommend to others 
335397,335398, Friendly staff good breakfast clean
335435,335436, Nice and attentive staff The airco functioned well 
335443,335444, The staff were friendly and helpful Air conditioning was a lovely bonus as it was very hot 
335450,335451, Very efficient and comfortable place Friendly staff 
335480,335481, Satisfying breakfast helpful staff
335501,335502, It was comfortable and friendly staff good transport link to get to centre
335515,335516, Great breakfast Excelent localization easy access to subway tram and train system Cool and helpfull staff 
335533,335534, The abundance and variety of the breakfast the politeness and helpfulness of the staff 
335549,335550, I liked cleanliness comfort and nice staff 
335551,335552, Very helpful staff very close to tram station Not much to do in the area but was nice to see a regular neighborhood 
335556,335557, Very beautiful Professional staff Very close to the train station 
335590,335591, Recommended Great place clean bed very comfortable staff available 24h for any needs silent place underground train station very close usefully for connecting with placa Catalunia I ll be back 
335596,335597, Good breakfast and very friendly staff Nice area with good connections to the touristic areas A short walk to the upper part of Passeig de Gracia 20 minutes to the airport by taxi 30 euros 
335597,335598, Zola the night manager was really friendly helpful All the staff managers were very helpful and friendly 
335611,335612, the staff at the reception desk are very helpful and friendly we loved them all especially paula who welcomed us and zola
335618,335619, Everything fantastic experience staff were friendly and unlimited free coffee 
335632,335633, General decor in the eating area was pleasant and the staff were welcoming on arrival 
335640,335641, The staff was really helpful There was a minor problem with the installations that required their attention and their response to it was wonderful Congratulations 
335647,335648, It was like being home away from home The staff Julian Paula Cesar and the rest of the staff made our stay comfortable They were very helpful and accommodating We love Barcelona
335661,335662, Close to metro and bus station 1min walk very responsive staff free coffee and tea at any time of the day in the lobby home like atmosphere very delicious inhouse bakery food at breakfast 
335667,335668, Proximity to metro wonderful and helpful staff lobby with coffee tea comfortable bed excellent air conditioner Great staff who took interest in making sure I saw all the sites and suggested best times to go 
335670,335671, The staff They went that extra mile to provide great advice like where to eat what tix to book and how to get from A to B Great passion for barcelona and customer service 
335672,335673, The staff was very friendly they offered free coffee throughout the day which was lovely as we were suffering from jet lag 
335673,335674, All it was fine but for me that most important it was human relations let me take this opportunity to express my special thanks go to the all staff 
335683,335684, Extremely helpful staff supportive to my business needs exceptionally friendly One of my best accommodations in a long time Highly recommended 
335688,335689, Coffee and water for free almost 24h 7 If you forget something that you need for your toilet a brush a nail file etc the staff will provide for it with no extra charges The atmosphere of the place was in whole fresh and very easy going 
335696,335697, The reception staff during the day were very welcoming and helpful 
335703,335704, Great beds very helpful and friendly front desk staff 
335728,335729, Pol Grace is located within a 25 minute walk to the city centre The staff are extremely helpful and even offered to hold our luggage and allowed us to park our car in the secure parking area when we arrived before the check in time Although a little way out of the centre the walk is easy with lots of interesting things to see along the way Breakfast each morning was very good with lots of choice from cooked eggs to fruit and yoghurts 
335744,335745, There was always somebody there if you needed anything the staff were really nice and smiley and the waiter for breakfast couldn t do enough for you And there are good shops around and plenty of places to eat and we are near a tube station 
335758,335759, All staff were exceptional in their friendliness and willingness to assist in planning all activities Their combined knowledge on all things Barcelona was such a help to us 
335768,335769, The staff were lovely and always happy to help 
335779,335780, It was a complete experience Great staff nice decoration and full of details We really enjoyed the tea bar 
335792,335793, great staff friendly atmosphere
335799,335800, The staff were soo helpful they really did make us feel soo welcome and they couldn t have been better 10 out of 10 
335800,335801, Free espresso Friendly and helpful staff Proximity to transit Nice neighbourhood
335802,335803, Really friendly helpful staff 
335804,335805, Very helpful and friendly staff thank you 
335820,335821, Good buffet breakfast Friendly and helpful staff 
335821,335822, Nice breakfast buffet staff is very helpful 
335830,335831, The staff were brilliant and helped us in every way that they could Excellent 
335844,335845, Reception staff were wonderful Friendly and knowledgeable very helpful 
335849,335850, Kind and friendly helpful staff Full of common sense and good advice 
335861,335862, great breakfast nice and helpful staff 
335862,335863, The staff is very helpful and friendly Special thanks to Cesar 
335866,335867, Helpful staff and good proximity to metro 
335878,335879, Innovative simple yet stylish Good wifi and friendly staff
335880,335881, Great facility friendly and helpful staff 
335885,335886, Awesome staff They were all lovely and very helpful Their English was excellent Free tea and coffee 
335893,335894, Coffe offer Decoration Charming staff
335894,335895, Fairly quiet Friendly and helpful staff Good bed extra big Free coffee 
335896,335897, The staff were amazing and the bed was extremely comfortable 
335906,335907, The staff was really nice the cookies offered for Valentine day were a really warm gesture 
335912,335913, Friendly staff and very clean premises Great shower 
335916,335917, Every staff are very nice the breakfast is good near the station I will command my friends 
335927,335928, Near a metro station Friendly english speaking staff
335930,335931, Great atmosphere delicious breakfast really worth the 10 friendly and thoughtful staff
335934,335935, Cleanliness and lovely breakfast staff friendly
335940,335941, The friendly service from the staff and a large comfortable bed 
335941,335942, Everything was really very good the staff was great
335950,335951, Amazingly friendly staff Great beds and good facilities 
335953,335954, Nice staff at check in nice lobby 
336003,336004, Everything just as expected clean friendly staff comfortable Free parking close to the centre tram very near nice price 
336011,336012, nice and helpful staff easy parking good wi fi
336025,336026, Clean comfortable easy to adjust temperature to a cool temperature breakfast was delicious with lots of variety in both food and beverage breakfast food quality was superb and staff was very courteous and helpful 
336040,336041, The Staff was service minded and made sure our breakfast was taken extra care Also cleaning staff was very friendly very nice since they are the first you meet in the morning and make your day having a good start 
336066,336067, It is very much worth for the price The service is commendable and the staff is very accommodating 
336080,336081, The staff was kind and ready to help 
336135,336136, Everything V Clean and comfy staff was very kind and tried there best to make our stay great 
336149,336150, Silent place large parking friendly staff 
336180,336181, cleanliness value of money most of the staff
336220,336221, Tasty breakfast and lunch nice staff good internet 
336281,336282, Very nice place the staff was also very friendly
336302,336303, Nice staff big suite good bed and good wi fi
336371,336372, Food delicious and the young man on duty friday through tuesday is the perfect member of staff so polite and attentive makes a lovely start to the day We will certainly stay there on our next visit
336377,336378, The staff were very friendly and the tea coffee in reception was appreciated Local was perfect 
336413,336414, The breakfast was good the staff was helpful 80 
336426,336427, Assistance of all the staff at reception one group was not feeling well and had help and it all worked out Especially Lyuba
336519,336520, Breakfast selection and food excellent Bag drop facility on checkout day staff really friendly and spoke good English 
336559,336560, Beatiful and helpful staff great position
336671,336672, We love the breakfast and especially appreciated the staffs at the front desk They were really to help and answer all my questions They also offered extra a information and printed them out for us We appreciated their hospitality Please keep up the good works 
336681,336682, Breakfast really good Free coffee during the day Friendly staff 
336707,336708, 1 Very close to the center and many shops cafe 2 Really good bed 3 Good varied breakfast and welcoming lady 4 Helpful staff
336719,336720, Great staff at the front desk Very friendly and he spoke excellent English 
336734,336735, Very friendly and helpful staff
336764,336765, Very close to the city centre the staff is very helpful 
336804,336805, The staff were excellent and very friendly and could not do enough for you Very clean and they upgraded us to a suite on arrival 
336830,336831, The staff was very helpful We were taking Uber to the airport but the driver could not be there for another 40 minutes Taxi cabs will not take credit cards unless you have a pin number which I did not have The man at the desk was able to get us a hired car to take us to the airport in 15 minutes That was very nice 
336852,336853, Bed was very comfortable Friendly staff 
336898,336899, great staff lovely interior decoration nice and comfortable
336908,336909, Ambiance professional and friendly staff Loved the decor
336909,336910, very polite staff and as recently refurbished everything was to a very good standard
336930,336931, Very clean Very comfortable bed Friendly staff
336932,336933, Really friendly staff nothing was too much trouble 
336941,336942, Great suite very friendly staff nice bar in the basement 
336951,336952, The staff was very nice especially the guys from reception and concierge Very thoughtful 
336965,336966, The staff and food were exceptional 
336986,336987, Jean Paul the concierge and the staff friendly helpful funny Made us feel like home 
336988,336989, The staff were very helpful and courteous 
336992,336993, The staff couldn t of done more for you
337011,337012, staff were helpful and wifi good
337052,337053, Well situated excellent staff and service
337059,337060, T V and audio package good Bar excellent and all staff brilliant
337063,337064, Friendly staff nothing was too much trouble The attention to detail of the decor down to providing umbrellas to go out for the evening was a lovely touch 
337065,337066, Beautiful surrounds and looks Attentive staff
337097,337098, Very friendly and helpdul staff Nice arrangemang with fruit coffe snacks etc on a table in lobby Just Love the Mayfair area 
337109,337110, The welcome and polite staff that s rested us The complimentary snacks in the lobby The fur throw over the dressing table the Bluetooth radio Above all the coffee machine 
337117,337118, The front desk staff was extremely kind and polite We were greeted with port wine which was really nice We also like the bar downstairs it had good selection of wines and whiskeys The breakfast was excellent Overall good experience if not the staff at the check out 
337124,337125, The staff were really welcoming and polite 
337151,337152, Helpful friendly staff Intimate atmosphere Very good breakfast 
337161,337162, Great service and staff A lot of options for breakfast and the bar is cosy 
337175,337176, The food was incredible and the staff were so accommodating 
337187,337188, Fantastic facilities and highly professional staff who couldn t do enough 
337219,337220, Situation loan of umbrella friendly staff
337232,337233, The staff is excellent I like that very English style
337237,337238, Very comfortable bed lovely decor and super helpful staff 
337252,337253, Fantastic service and lovely staff
337262,337263, Excellent staff great accommodation 
337280,337281, general ambiance and staff service
337315,337316, Very basic but did not expect to much for the money we played Lots of untrained staff so some slow service 
337317,337318, The breakfast was nice and staff were very friendly 
337322,337323, Orange juice was excellent Breakfast great choice Most of the staff were friendly and professional 
337327,337328, The staff friendly the food excellent
337339,337340, Pillows ok Bar staff great as were all the staff we met 
337377,337378, the reception staff were really nice and helpful
337393,337394, The breakfasts are very good the staff are very nice and very helpful we as usual enjoyed our stay
337397,337398, Its proximity to everything n the very courteous and friendly staff specially people in the concierge
337402,337403, Great customer service an asset to Hilton The Front desk staff were very efficient We were particularly impressed by the decisive leadership of Ms Harkiran Sidhu in dealing with crisis situations supported by Rovena Brazaityte Martina Menegazzo and Richard the concierge 
337410,337411, Breakfast was excellent The staff was very helpfull 
337416,337417, The staff were helpful and friendly
337417,337418, The only thing that would have made our stay better would be a double bed but was not offered to us when I made the booking Other wise we had a great stay Thanks to your great very friendly Helpful staff 
337418,337419, The reception was excellent staff went out of their way to welcome us 
337430,337431, The staff were very helpful and approachable and the breakfasts were very well presented with lots of choices 
337446,337447, The staff were particularly helpful and caring when my husband was not feeling well 
337455,337456, Service was great staff is excellent 
337477,337478, The staff were very helpful and the breakfast was lovely
337487,337488, The proficiency efficiency and helpfulness if the staff could not be beaten This included advising a private limo for fixed price return journey across London which was cheaper than taxi The front desk the serving staff in the bar and at breakfast were very polite throughout Excellent 
337488,337489, The position and a few staff were very nice 
337496,337497, The staff were very helpful Breakfast plenty of choice Bed very comfortable but pillows need updating and only one cushion on chair which used to bulk out the flat pillows on the bed Lived the oversized bathrobes My husband can never get the robes to fit him so he was very happy with this The surrounding area is fantastic too Buckingham palace just through the pack was a bonus Thank you for a wonderful stay 
337504,337505, staff were very helpful food was lovely
337514,337515, Very helpful pleasant polite staff
337522,337523, nice breakfast staff can t be more helpful
337527,337528, The staff overall are fantastic and well and truly compensate for the minor downsides 
337539,337540, Very friendly and helpful staff Great bar to relax in 
337638,337639, Lovely staff Nothing was too much trouble 
337643,337644, Breakfast choices outstanding Wow staff 
337654,337655, Friendly and flexible FOH staff
337668,337669, Polite staff lovely breakfast porridge full English excellent toaster that worked 
337672,337673, Very clean and tidy throughout helpful friendly staff
337705,337706, All of staff we conversed with were extremely friendly and helpful 
337712,337713, All of the staff were super friendly and helpful
337720,337721, reception staff couldn t have been more friendly or more helpful 
337722,337723, Position Position Position Very helpful reception staff
337724,337725, Polite and friendly staff as well as helpful didn t have breakfast as overslept and not hungry at time
337731,337732, The professionalism of all of the staff
337733,337734, Very good breakfast Helpful staff
337738,337739, friendliness and helpfulness of staff breakfast was exceptional
337744,337745, Very welcoming staff Excellent breakfast
337788,337789, pillows were like marshmallows staff fantastic food excellent
337794,337795, I went to propose to my girlfriend The staff was very helpful and kind and it was a wonderful experience 
337795,337796, superb breakfasts and friendly and helpful staff Small enough to make your stay special
337804,337805, Friendly staff excellent service 
337812,337813, The lobby was beautiful and and easy place to catch up with friends and family visiting and drinking champagne Had a lovely visit The staff were very attentive and they provided lovely special touches for a 50th birthday Gym was great wonderful view and good facilities 
337860,337861, Excellent customer service from all staff Bent over backwards to accommodate 
337869,337870, Everything The staff there are spot on and are always going far a beyond to satisfy your needs 
337876,337877, Friendly and understanding staff 
337878,337879, mineraru water espresso daily service were excelent as well as all staff frendly 
337887,337888, excellent service amenities super friendly staff
337888,337889, It was a nice stay and the staff were very helpful 
337889,337890, The staff very kind and friendly
337893,337894, I loved the staff and the good service
337896,337897, The whole stay was a great experience Wonderful staff and the house keeping were excellent 
337900,337901, We were made very welcome by members of staff and they couldn t do enough for us So thank you so much from Wendy and Elaine
337937,337938, Helpful staff clean and tidy always good views onto the river
337954,337955, Loved bar area and the Mulled Wine was great Quick breakfast was good value for money Club Sandwich was excellent Bar staff were friendly and helpful 
337962,337963, Everything was perfect Best professionalism and courtesy showed by all staff members Warm environment and friendly atmosphere 
337967,337968, Food at dinner and staff being polite
337990,337991, Very nice property Being by the River added to its charm It was beautiful and peaceful The staff was friendly and helpful Ms Senela at the front desk who checked us in was just wonderful She was the first interaction we had with the property and her extremely pleasant and smiling demeanour started our trip on just the right note The breakfast buffet was good with a lot of variety Overall a great experience 
337991,337992, The setting by the Danube is lovely the staff was very kind and helpful
338016,338017, The property itself is beautiful It is situated nicely on the danube river We had a great view from our balcony Front desk staff was great 
338044,338045, Friendly staff and very helpful Very close to the metro station a couple of minutes walk 
338059,338060, Friendly helpful staff Excellent breakfast Clean and lovely view of the river 
338133,338134, Huge selection for breakfast very friendly and efficient staff 
338140,338141, Rich breakfast excellent service friendly staff cleanliness Bravo 
338207,338208, Helpful staff with good management 
338216,338217, The staff was very friendly and helpful Pier 269 terrace on river side was a plus 
338239,338240, The front desk staff was very helpful
338288,338289, The staff was unbelievably helpful and nice in all the departments 
338298,338299, Very polite and helpful staff always happy to go extra mile close to very efficient underground system
338301,338302, I like the friendly staff and comfort
338309,338310, Excellent staff espically front offiice Lounge was wonderful and the view great
338344,338345, Very clean Lovely pub food around the corner and two minutes from the Piccadily line Free tea and coffee facilities iron hair dryer and nice toiletries Everything we needed plus very helpful staff Comfy bed too Air con provided 
338360,338361, The propert is very well located staff was very friendly 
338364,338365, Very friendly staff couldn t do enough for you Have stayed here twice and have loved it both times 
338371,338372, Very friendly and helpful staff
338380,338381, Friendly staff on reception in the daytime although the night staff totally blanked us Handy for the tube 
338382,338383, We were upgraded when we arrived and I really appreciated it as I m pregnant so the comfort was fab The suite was very clean and staff were friendly and helpful
338442,338443, The staff were amazing nothing was too much trouble
338449,338450, Friendly staff but cannot recommend 
338468,338469, Fantastic loved every minute and the staff were extremely polite and helpful 
338470,338471, The staff are especially helpful in particular Shay who helped us with our bags and arrangement of a car service 
338473,338474, Very clean and staff were attentive 
338477,338478, The staff could not have helped us anymore morning noon and night they were there to help Breakfast was lovely bed comfortable le Occitane toileties lovely decorated Thankyou for a wonderful stay
338497,338498, The staff were very helpful and polite 
338509,338510, Friendly staff good quality of food well set up more organised than other buffet breakfasts in our experience x
338521,338522, Smelt lovely and clean as soon as we walked in Very friendly staff 
338529,338530, Very close to the Underground and very helpful staff 
338542,338543, Comfy nice staff great price easy to get to the city
338553,338554, Very friendly helpful staff Did the the job perfectly for our trip 
338560,338561, Great staff very friendly and helpful 
338562,338563, Helpful friendly staff Peaceful atmosphere just what was needed 
338567,338568, Large comfortable bed Quiet comfortable relaxed and just around the corner from tube station Friendly staff 
338568,338569, amazing place very comfort friendly staff
338576,338577, Good breakfast in the morning and nice and helpful staff 
338578,338579, Super friendly staff and excellent service 
338592,338593, Really helpful and friendly staff Would definitely visit again 
338608,338609, Brilliant staff Free parking on site Comfy bed Air con
338619,338620, Very polite and helpful staff 2 minutes walk to tube station Free car park on site although limited 
338634,338635, Although the back door would not lock the staff were happy to reassure us in finding a key 
338652,338653, Amazing place great staff great value for money 
338674,338675, Very pleasant staff thoughtful touches extra water cold milk in fridge
338676,338677, clean free wifi close to tube station bar friendly staff
338680,338681, price one block from Tube Stop helpful staff
338684,338685, Friendly staff close to underground
338697,338698, Nice helpful and friendly staff
338704,338705, Really friendly staff parking nice shower
338705,338706, Very convenient for tube and free parking for car outside just off m4 Small but lovely with lovely staff 
338735,338736, The nice staff the breakfast and the general comfort
338738,338739, Organic breakfast staff s hospitality vicinity to my business 
338745,338746, Really friendly staff and helpful Nice breakfast and plenty of choice also a wide range of drinks to choose from 
338746,338747, The staff were outstanding very polite their attention to detail and our personal wellbeing was very evident 
338762,338763, Everything was well done staff was very well trained and efficient Place was spotless 
338783,338784, The breakfast was impressive staff were friendly and we could walk to the tourist parts of the town The automatic electric shutters were also a nice touch when privacy was required 
338801,338802, Such friendly professional and helpful staff great breakfast comfortable beds and warm showers Everywhere was lovely and clean nothing was too much trouble Great quiet area short walk into the centre of Vienna or near city bike hire and trams Would definitely recommend a stay 
338809,338810, Very friendly staff excellent breakfast very good value for the money 
338810,338811, Amazing staff service facility and value 
338811,338812, Very efficient modern Clean Excellent staff helpful Great breakfast 
338812,338813, Breakfast was lovely and all of the staff were very helpful 
338825,338826, The buffet breakfast was great The afternoon tea and cake was good The front desk staff was great The breakfast staff was great 
338843,338844, very clean comfortable bed and great variety of breakfast helpful and pleasant staff Close to the city center using the D tram 
338846,338847, Terrific breakfast Friendly staff
338849,338850, Clean comfortable beds vienesse white styling We wil have nice memories about our family advent weekend there Warm regads to the staff 
338865,338866, Lovely beds Great shower All staff very friendly That s all staff 
338874,338875, We really liked the ballet theme stylishly worked into the interiors The food and coffee were excellent the staff welcoming and helpful 
338893,338894, V clean cosy place plus attentive staff team 
338896,338897, excellent facilities and very helpful staff Pure harmony 
338906,338907, kind staff complimentary bottle of wine
338907,338908, Everything The decor the cleanliness the staff the breakfast and the complimentary afternoon tea A great place to stay
338913,338914, Tasteful elegance high quality comfort very friendly staff 
338916,338917, Friendliness and helpfulness of staff
338919,338920, Quiet neighborhood 20 minutes from city center Excellent staff and really helpful Great garden view to enjoy a decent breakfast Beautiful park nearby 
338922,338923, The Park Villa is located in a lovely quiet area We enjoyed the overall atmosphere the garden setting for breakfast was extremely inviting and the entire staff was ever so helpful in helping us enjoy our visit to Vienna 
338939,338940, Very helpful staff easy to get to the Center of Vienna Garden where breakfast is served is wonderful Breakfast was good and excellently served 
338956,338957, Breakfast was really good and service from staff was friendly Everything was super no need to complain in any matter 
338957,338958, Very kind staff Very good breakfast
338958,338959, Very friendly staff good breakfast good amenities 
339065,339066, I am disabled and much appreciated the helpfulness of the staff Great help with buffet breakfast Prompt booking of taxis Availability of pool as I need to do aqua therapy
339074,339075, Service level was good staff was accommodating to all our requests breakfast spread was great
339078,339079, The breakfast was extremely good The TV services were among the best I have experienced The staff were delightful
339080,339081, The staff were friendly and the breakfast was excellent 
339152,339153, Friendly staff very clean and modern great sound prof as we was on the 10 floor next to the sky bar we could not here any noise Want to say a big thanks to taco he was great and gave stunning service
339163,339164, The staff was great and made an effort to make you feel like a valued guests
339171,339172, The breakfast was excellent and the staff super friendly
339189,339190, Facilities comfort friendly staff
339199,339200, Very comfortable bed great nights sleep Reception staff were excellent Very friendly Sky bar is open and serving food late
339214,339215, Atmosphere bar very helpful staff One member of security Ab Fab Asian looking fantastic member of staff
339215,339216, The skyy bar was excellent there was a live dj and a great atmosphere the bar staff where great and the food was very good We bought 3 day travel tickets at the reception that worked on the tram bussed and metro the nearest metro stop is 5 minutes walk and it goes straight into central station
339227,339228, The beds are so comfy and most staff are attentive 
339247,339248, Friendly staff with a warm welcome nothing was too much trouble they even sourced a fabulous cake for my husband s birthday along with complimentary cocktails 
339249,339250, It was ok the staff were helpful enough although it took them some time to find the alteration to the booking made several weeks previously in writing But it s Amsterdam even booking months in advance the choice is limited 
339250,339251, the staff were super friendly we always came home to a comfrotable made bed fresh towels and new coffee it was overall an amazing stay
339251,339252, great staff always friendly loved the cocktails in the sky bar outside the main Centre but east to get there in tram 17 or 1 free travel adaptor as reception
339268,339269, Very comfortable clean and stylish Excellent facilities and the reception staff friendly and very helpful Handy for the tram to the city centre and train to airport Cafe Oslo nearby is excellent for breakfast 
339289,339290, Comfy beds friendly staff lovely facilties Even got a free birthday cocktail in the gorgeous Skyy bar
339296,339297, Everything was Great Good breakfast friendly staff also good with children The pool is a plus Close to public transportation and the airport We ll be back 
339301,339302, Very nice staff Especially at the bar Also a good choice of wine 
339305,339306, Very friendly staff lovely decor very clean beds were so comfy all around pleased
339306,339307, free coffee in the morning when you dont take breakfast friendly staff free umbrella on rainy days
339352,339353, Peaceful and very comfortable beds exceptionally clean Very helpful staff excellent pool and very easy access for trams into centre of Amsterdam 
339361,339362, Swimming Pool was clean and good Beds were comfy Proper security well mannered staff and very helpful Outside the main city but tram no 1 takes you directly in the heart of city Very comfortable stay 
339362,339363, The overall experience was amazing And I think we need to get ourselves one of them beds Comfy and massive The staff are friendly polite and always smiling 
339385,339386, Great breakfast helpful staff nice pool
339405,339406, Very nice reception staff they were helpful and did more than I expected The lady at the reception made us very happy with her care and professional touch 
339414,339415, The staff were very friendly and helpful They always welcome you with the smile that you expected The sky bar at the tenth floor has an amazing view 
339440,339441, Loved the wonderful staff who treated me like a king The giant bathtub was great after a long day Two different thicknesses of pillows on each side of the bed so you could use the one or combination you like best 
339463,339464, Really helpful staff who made it really clear and easy for us to plan our days 
339468,339469, The bed was lovely and comfy for me and my partner Had 3 great nights of sleep The staff were lovely and the spa area was nice too Everything clean and up to standard 
339470,339471, The beds were very comfortable staff very friendly tram stop into the centre only a few mins walk 
339486,339487, staff was all extremely nice and also received 2 free cocktails as it as my boyfriends birthday would 100 recommend 
339514,339515, Excellent staff Super Sky Bar for cocktails pre dinner Beds are amazingly comfy best I ve been in Lovely area just be prepared to walk a bit or pay the tram card 
339530,339531, The sky bar was really lovely had amazing cocktails All the staff were friendly and happy to help 
339531,339532, Smoking area SOME friendly staff 
339538,339539, The staff couldn t have been nicer The breakfast was superb 
339553,339554, Excellent area for those they want to combine relax and business together The facilities and the staff were excellent too 
339587,339588, 1 Very positive staff with a co operative and professional approach Right from check in through check out 2 Quality food 3 Smiling and efficient housekeeping 
339596,339597, The staff was kind however I did not understand the habit of calling me back after each service like if I liked the dinner etc Sometimes this can be bothering 
339601,339602, The staff were so lovely and friendly 
339636,339637, Excellent facilities lovely food and great staff 
339642,339643, Very clean and modern friendly staff
339653,339654, Friendly staff breakfast great and varied choices available 
339656,339657, The staff member Britt was amazing Very polite and helpful All staff were brilliant but Britt especially 
339660,339661, Very clean and well presented through out and staff very helpful and friendly and would definitely stay here again 
339669,339670, First day bar food wad excellent 3rd day not so tasty as staff were preoccupied with an event 
339670,339671, Everything Amazing place and amazing staff SkyBar Saturdays are well worth a visit great atmosphere and great drinks 
339672,339673, Very friendly helpful staff Clean and comfortable Great choice at breakfast Couldn t fault anything
339701,339702, Very comfy beds and friendly staff Easy to get to from Schiphol Airport and tram stop 5 minutes walking distance
339725,339726, Lovely decor friendly staff and nice food
339735,339736, The staff were very very helpful and all very happy in their workplace
339747,339748, Excellent furnishings hospitable staff and impeccable swimming pool area 
339749,339750, Really friendly staff who went out of their way to help you show you the area and assist in any way possible 
339763,339764, Excellent facilities and staff
339787,339788, Nice food and staff the Skyy Bar is good but slightly expensive 
339797,339798, The very comfortable beds the cleanliness and the friendly staff 
339829,339830, Comfortable and spacious very friendly staff Especially Kiki in the spa for a massage 
339856,339857, The staff were very helpful and very friendly We purchased our bus tour tickets at reception and they printed off the route for us 
339863,339864, staff on reception were lovely 
339875,339876, Friendly staff and great customer service
339887,339888, Great staff and clean comfy accommodations 
339892,339893, The beds were comfy and staff were helpful 
339912,339913, Looked great was clean staff were efficient and pleasant 
339935,339936, The staff were very friendly and helpful All of our needs were met
339944,339945, Food good and staff very friendly 
339965,339966, This is my third visit the staff are friendly and its nice to see familiar faces on each visit 
339976,339977, Excellent customer care attentive staff lovely environment
339986,339987, Great staff comfy and clean beds great choice at breakfast 
339990,339991, Shower was hot powerful All staff were nice helpful
339999,340000, The food was delicious and the staff were very helpful and friendly
340013,340014, The beds were comfy and the staff always available to assist with anything you need 
340032,340033, Very friendly staff clean lovely will be back next year
340062,340063, Close to city centre staff were lovely easy to get about 
340067,340068, The staff were very kind and well trained for their work 
340071,340072, This was my second visit and the staff are friendly great food nothing that we do not like going back in Aug 
340098,340099, Beds were comfy good facilities staff were very helpful
340130,340131, Nice atmosphere friendly staff 
340135,340136, Very friendly staff Good views Close to train and tram station s
340139,340140, Lovely staff easy access to tram and bus 
340148,340149, Really comfortable bed and very helpful staff 
340150,340151, Helpful staff good food and close to all amenities
340165,340166, first class staff and customer service
340172,340173, Breakfast wellness centre helpful staff
